court,judge_name,case_type,sections_involved,num_hearings,petitioner_type,respondent_type,outcome,case_duration_days,filing_year,filing_month,description_length,word_count
1,47,1,6,3,0,0,0,91,2023,7,262,34
0,42,4,1,18,2,3,0,546,2018,11,243,35
0,32,0,5,35,3,0,1,149,2017,4,247,34
1,36,0,5,15,0,3,1,1017,2022,9,233,34
3,28,2,2,13,3,0,1,783,2017,1,267,37
0,10,0,5,11,0,3,0,689,2021,10,229,33
2,24,4,3,27,2,0,1,654,2020,1,233,33
3,11,0,1,4,3,3,0,550,2016,4,249,35
0,6,2,7,18,0,2,0,83,2023,7,270,35
0,1,1,4,9,1,1,1,856,2020,7,262,34
0,14,2,9,35,0,0,1,541,2023,11,255,33
0,13,2,4,22,3,3,1,450,2013,1,241,32
2,32,1,6,11,2,0,0,497,2016,2,270,36
0,22,1,1,11,0,0,0,529,2016,8,268,35
3,6,1,5,29,3,1,1,1037,2020,5,268,35
1,28,2,2,29,3,1,0,238,2022,3,248,32
0,49,2,2,35,1,1,1,219,2014,5,255,33
2,15,1,4,30,3,3,1,162,2014,8,267,35
1,50,3,8,6,1,1,0,694,2020,6,242,34
1,38,0,8,19,3,2,0,57,2016,11,228,33
3,14,2,3,1,3,3,1,877,2020,9,255,33
2,18,3,3,36,2,1,0,812,2013,1,234,32
1,48,1,1,30,0,2,1,788,2018,10,265,35
1,21,4,6,32,3,0,0,530,2013,4,243,35
3,43,2,2,29,0,2,1,469,2023,6,248,33
3,46,3,6,4,1,1,0,1035,2014,8,224,32
2,2,1,9,27,3,1,0,918,2014,12,273,36
2,10,3,5,32,1,3,0,219,2014,2,259,35
3,18,2,5,25,1,1,1,306,2015,6,233,31
2,29,0,7,33,2,3,1,291,2018,5,234,34
3,3,4,2,24,2,3,0,535,2019,10,238,34
1,40,4,9,14,2,0,1,713,2022,11,246,36
3,25,3,8,16,2,0,0,266,2022,8,230,33
1,48,3,8,20,3,1,0,88,2013,12,242,34
1,48,1,2,12,3,2,1,442,2017,9,262,34
0,29,2,7,3,3,1,0,568,2022,7,252,35
2,7,2,5,20,3,2,0,749,2014,10,245,35
0,4,0,9,11,3,2,0,162,2020,5,228,33
0,20,2,8,21,1,3,0,767,2017,9,233,31
3,35,0,8,38,0,0,1,202,2014,11,232,34
3,2,3,2,27,2,1,0,343,2013,9,230,33
0,52,2,2,37,0,2,1,577,2016,3,241,32
1,0,4,7,33,2,0,1,142,2013,1,244,34
1,15,2,3,27,1,0,0,638,2015,2,255,33
1,27,0,1,6,1,3,1,71,2019,1,249,35
3,38,2,8,1,0,0,0,256,2021,9,250,35
1,5,0,9,7,2,1,0,635,2018,7,249,35
2,28,3,2,1,2,1,1,320,2020,12,248,34
1,38,0,5,20,1,2,0,492,2013,10,228,33
2,27,4,7,24,2,0,0,333,2016,5,246,35
2,52,3,1,22,3,1,1,565,2020,3,234,32
2,10,1,8,9,0,0,0,181,2013,8,279,38
3,16,2,4,17,3,3,0,196,2019,6,267,37
0,3,4,4,26,0,0,1,1063,2014,11,236,33
0,42,4,3,12,3,0,1,385,2017,8,251,35
1,34,0,5,4,2,2,1,770,2019,12,248,34
0,4,3,2,7,2,1,0,39,2023,11,225,31
2,49,1,8,39,0,1,1,148,2013,12,270,36
3,29,2,7,9,1,0,0,872,2019,1,248,32
0,36,3,2,5,1,1,0,412,2018,11,230,32
3,27,3,9,33,1,3,1,351,2013,9,239,34
2,51,2,5,14,0,0,0,214,2019,9,267,37
1,47,1,7,38,3,2,0,315,2013,10,279,38
0,38,2,6,4,1,2,1,280,2020,7,238,31
1,29,3,2,3,3,1,1,883,2015,4,239,34
1,26,1,9,15,2,3,0,1035,2014,5,262,34
2,16,0,9,36,1,1,1,67,2013,10,248,35
1,14,0,2,14,3,1,1,176,2018,1,243,33
2,38,0,3,29,2,2,0,701,2015,8,243,33
1,44,0,5,26,2,1,1,971,2018,2,233,34
0,46,3,3,3,2,1,0,369,2022,11,233,33
0,27,0,1,34,0,3,0,930,2022,3,229,33
0,19,0,1,5,1,0,1,34,2021,4,237,33
1,22,4,2,32,3,3,1,825,2018,2,238,34
3,45,4,2,5,0,2,1,1039,2014,3,248,34
2,0,3,5,29,1,3,1,561,2017,6,225,31
1,28,4,3,35,3,1,1,655,2013,3,241,34
2,26,0,5,39,1,3,1,306,2014,5,229,33
1,22,0,2,27,3,1,1,870,2016,4,234,34
3,15,3,9,2,3,1,1,919,2020,8,248,35
1,24,3,5,2,0,3,0,921,2021,9,233,33
3,0,0,1,31,3,3,1,922,2019,10,233,34
1,19,4,9,19,3,3,0,112,2015,11,241,35
0,48,4,2,6,2,3,1,592,2020,11,241,35
1,43,3,1,11,3,3,1,574,2023,12,248,34
1,31,3,4,24,3,1,1,80,2020,3,233,33
3,13,2,5,4,3,2,0,887,2021,5,248,33
3,10,4,9,32,3,0,1,236,2022,8,235,33
1,10,3,6,31,3,1,0,484,2020,11,248,34
3,27,2,9,26,2,3,0,90,2022,8,248,32
1,32,0,1,22,2,0,1,874,2016,4,232,34
0,50,1,6,5,0,3,0,222,2016,5,271,37
3,48,4,2,16,2,1,1,582,2014,12,251,35
1,12,1,7,8,1,3,0,574,2015,1,265,34
0,29,2,5,23,3,1,0,132,2019,1,248,32
1,31,2,4,35,3,1,0,943,2023,3,248,33
2,36,2,8,35,2,3,0,37,2015,6,245,35
2,45,2,4,36,1,1,1,728,2020,11,255,33
1,50,4,8,14,1,3,1,214,2013,11,246,35
3,37,0,3,30,1,0,1,672,2023,9,247,34
2,7,4,8,18,3,2,1,271,2018,10,243,35
1,2,4,9,12,2,2,0,830,2018,6,241,35
0,17,4,9,30,2,1,1,633,2016,12,246,35
2,50,3,6,10,1,2,0,714,2023,7,259,35
0,10,1,7,26,1,0,0,1086,2017,8,273,36
1,12,3,6,3,0,2,0,504,2014,5,248,34
3,17,4,2,24,2,1,1,842,2019,3,236,33
0,45,1,2,19,2,2,1,902,2019,6,265,34
0,17,3,4,3,1,1,1,377,2021,3,259,35
2,7,2,3,16,3,1,0,361,2018,6,248,33
1,7,0,7,36,3,3,0,785,2016,1,247,34
3,17,3,3,10,2,3,0,1023,2013,1,239,33
2,14,3,7,16,1,0,1,46,2023,11,244,34
3,31,3,2,26,1,0,1,154,2015,2,239,33
1,38,1,5,5,3,1,0,210,2016,11,267,35
0,16,0,9,9,3,1,0,712,2014,9,237,33
0,50,4,7,13,2,1,0,480,2015,8,233,33
1,24,1,3,4,1,0,0,565,2013,9,270,36
1,17,3,8,19,3,1,1,369,2016,9,250,35
0,46,0,4,17,2,2,0,485,2023,6,244,34
2,33,4,6,7,0,2,0,858,2015,6,248,34
0,11,4,9,29,3,0,0,489,2023,8,251,35
2,18,1,2,23,0,3,1,450,2019,12,265,34
0,15,3,7,8,2,0,0,75,2022,10,234,32
0,12,1,7,11,3,3,0,434,2019,10,265,34
2,32,4,8,23,3,0,1,834,2023,11,236,33
3,22,3,8,12,2,2,0,176,2019,1,243,33
1,38,2,9,4,0,0,0,407,2022,2,233,31
3,2,4,9,31,3,0,0,335,2013,5,243,34
2,49,2,5,11,2,2,0,540,2023,4,233,31
2,15,4,5,25,0,0,1,908,2013,3,251,35
1,46,4,2,33,2,1,1,936,2015,3,241,34
2,50,0,9,3,2,2,0,440,2021,2,249,35
1,7,3,8,6,2,3,0,647,2015,10,224,32
0,38,0,1,11,1,2,0,904,2013,6,234,34
2,28,1,1,26,2,3,1,941,2022,6,267,35
0,51,1,7,1,1,2,1,674,2018,8,265,34
2,38,0,9,1,3,0,0,176,2018,4,247,34
2,50,1,6,32,1,0,0,433,2016,6,273,36
0,2,0,3,22,0,0,1,331,2020,11,237,33
3,21,1,7,6,2,1,0,757,2016,6,262,34
2,44,3,5,10,1,0,0,273,2019,3,234,32
1,48,4,8,22,1,2,0,66,2014,6,238,34
3,38,2,6,9,2,2,0,978,2016,5,248,33
3,36,2,3,6,0,3,1,148,2013,4,267,37
0,36,4,2,20,2,1,0,866,2016,2,243,35
1,14,0,4,4,3,3,0,1051,2017,3,234,34
1,43,3,6,39,0,2,0,922,2021,3,239,34
0,12,2,5,29,1,1,0,552,2022,1,245,35
0,48,2,3,10,3,0,1,638,2018,11,270,35
1,23,0,6,38,0,3,0,798,2023,3,233,34
2,41,3,2,22,2,1,1,266,2016,12,250,35
2,46,3,6,10,0,2,0,482,2018,6,239,33
3,40,0,7,15,1,1,1,433,2019,10,234,34
1,17,2,9,31,0,1,1,322,2014,12,248,33
1,51,0,9,28,0,3,1,618,2017,8,244,34
1,3,4,3,15,3,3,1,479,2022,11,241,35
3,37,1,8,37,2,3,0,50,2018,3,265,34
2,28,2,3,3,1,0,0,127,2023,3,240,31
2,22,1,1,17,1,0,1,714,2020,6,262,34
1,42,4,7,11,0,1,0,620,2014,11,241,35
1,7,3,5,36,0,3,1,944,2018,1,233,33
0,2,1,3,8,1,2,0,108,2017,1,265,35
1,34,0,4,36,3,0,0,378,2023,6,244,34
1,3,4,9,29,2,3,0,444,2016,9,235,33
3,12,1,2,34,3,1,1,757,2018,5,268,35
2,42,0,1,15,2,0,1,497,2020,8,248,34
0,26,4,9,10,1,2,0,547,2023,7,244,35
0,51,4,9,8,0,0,0,1014,2019,1,248,34
1,18,0,3,28,0,0,1,34,2022,4,244,34
3,41,4,5,4,3,3,0,985,2014,4,243,35
1,13,2,8,14,1,1,0,333,2022,10,267,37
3,19,3,5,18,2,0,1,73,2015,4,248,34
1,7,2,4,8,3,3,0,594,2021,5,240,31
0,32,2,7,18,0,1,0,256,2018,11,263,34
0,5,1,7,18,1,3,0,805,2019,8,265,35
3,38,2,4,7,2,1,0,842,2014,1,238,31
1,43,0,7,19,2,3,0,460,2018,11,249,35
1,4,4,9,22,1,1,1,865,2013,12,238,34
2,51,4,3,26,2,3,1,229,2019,1,244,35
1,7,3,1,10,3,0,0,389,2017,6,239,33
3,30,1,8,13,2,2,0,95,2015,3,271,37
2,47,3,2,37,1,0,1,716,2018,5,239,33
3,42,3,3,4,1,3,1,794,2015,5,225,31
0,50,3,7,12,3,3,0,846,2013,11,242,34
2,22,4,8,12,2,1,0,420,2013,5,246,34
1,49,2,8,10,3,2,0,926,2016,10,253,33
0,7,4,9,32,0,0,0,722,2021,3,238,34
1,17,2,8,35,3,2,0,645,2019,5,267,37
2,37,2,4,34,1,0,0,267,2014,5,255,33
0,32,0,1,8,0,3,0,930,2017,11,237,33
0,7,4,2,3,1,1,0,837,2019,5,236,33
2,50,2,4,35,3,2,1,966,2015,7,250,35
1,36,0,2,8,3,0,1,398,2014,7,249,35
2,11,0,3,32,0,1,0,620,2015,9,237,33
0,47,2,3,3,0,3,1,86,2013,9,255,33
0,43,3,2,24,1,0,1,670,2015,8,230,32
0,12,3,5,20,3,3,0,575,2018,11,248,34
3,21,3,7,34,1,3,1,906,2021,10,248,34
3,40,4,6,7,2,3,0,812,2022,8,251,35
1,26,3,9,4,2,0,0,1089,2020,5,248,34
2,26,3,5,31,1,0,1,1027,2016,11,239,34
0,7,3,9,15,3,0,0,209,2023,4,248,34
3,48,0,6,33,0,3,0,1068,2023,2,237,33
3,37,0,1,12,0,2,1,62,2016,12,243,33
2,2,1,5,20,3,1,0,518,2013,2,279,38
2,52,0,3,22,0,2,1,1028,2017,10,228,33
2,16,2,4,19,1,2,1,684,2018,2,241,32
2,7,1,1,25,2,2,0,1091,2020,6,262,34
0,38,1,9,21,1,2,0,626,2014,8,279,38
0,47,3,9,17,0,3,0,759,2018,12,242,34
1,28,2,5,10,3,2,1,600,2016,6,240,31
1,43,1,6,7,1,3,1,1022,2018,6,278,37
3,21,0,7,28,2,2,0,152,2013,4,228,33
1,24,1,5,36,1,1,1,446,2018,10,265,34
3,34,0,8,27,3,3,0,747,2013,5,247,34
3,44,1,6,6,0,3,0,557,2022,5,276,36
1,42,1,8,6,3,2,1,1062,2020,11,279,38
2,26,1,5,16,3,1,0,653,2023,2,267,35
3,26,3,7,12,3,3,1,165,2020,3,250,34
0,38,1,7,9,1,1,0,686,2023,10,265,34
1,52,2,6,19,0,0,1,363,2015,4,267,37
0,28,4,4,20,0,0,1,532,2013,1,246,34
0,12,4,4,36,1,3,1,112,2022,11,235,33
3,34,0,8,31,1,2,0,960,2020,4,233,34
1,42,2,8,7,2,0,0,460,2020,7,255,33
3,28,0,3,23,3,0,1,892,2016,3,248,35
3,8,1,8,3,1,2,0,545,2016,9,279,38
2,25,2,2,39,0,0,1,1044,2020,6,270,35
2,15,1,7,6,0,2,0,413,2017,6,270,36
0,40,4,9,38,0,1,0,143,2013,11,241,35
2,3,4,6,10,2,2,1,539,2016,3,241,34
